
/*------------------------------------------------------------------------------
//DO NOT EDIT
BEGIN
HAL_PHY_RATE_11AC_DUP_12_MBPS gl
HAL_PHY_RATE_MCS_1NSS_CB_81_MBPS f6
HAL_PHY_RATE_MCS_1NSS_MM_SG_14_4_MBPS fv
HAL_PHY_RATE_MCS_1NSS_MM_SG_21_7_MBPS fw
HAL_PHY_RATE_MCS_1NSS_MM_SG_28_9_MBPS fx
HAL_PHY_RATE_MCS_1NSS_MM_SG_43_3_MBPS fy
HAL_PHY_RATE_MCS_1NSS_MM_SG_57_8_MBPS fz
HAL_PHY_RATE_MCS_1NSS_MM_SG_65_MBPS f0
HAL_PHY_RATE_MCS_1NSS_MM_SG_72_2_MBPS f1
HAL_PHY_RATE_MCS_1NSS_MM_SG_7_2_MBPS fu
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_120_MBPS gf
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_135_MBPS gg
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_150_MBPS gh
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_15_MBPS ga
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_30_MBPS gb
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_45_MBPS gc
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_60_MBPS gd
HAL_PHY_RATE_MCS_1NSS_MM_SG_CB_90_MBPS ge
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_13_MBPS gs
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_19_5_MBPS gt
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_26_MBPS gu
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_39_MBPS gv
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_52_MBPS gw
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_58_5_MBPS gx
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_65_MBPS gy
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_6_5_MBPS gr
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_78_MBPS gz
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_NGI_86_5_MBPS j8
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_14_4_MBPS g1
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_21_6_MBPS g2
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_28_8_MBPS g3
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_43_3_MBPS g4
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_57_7_MBPS g5
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_65_MBPS g6
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_72_2_MBPS g7
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_7_2_MBPS g0
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_86_6_MBPS g8
HAL_PHY_RATE_VHT_20MHZ_MCS_1NSS_SGI_96_1_MBPS j9
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_108_MBPS he
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_121_5_MBPS hf
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_135_MBPS hg
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_13_5_MBPS g9
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_162_MBPS hh
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_180_MBPS hi
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_27_MBPS ha
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_40_5_MBPS hb
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_54_MBPS hc
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_NGI_81_MBPS hd
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_120_MBPS ho
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_135_MBPS hp
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_150_MBPS hq
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_15_MBPS hj
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_180_MBPS hr
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_200_MBPS hs
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_30_MBPS hk
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_45_MBPS hl
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_60_MBPS hm
HAL_PHY_RATE_VHT_40MHZ_MCS_1NSS_CB_SGI_90_MBPS hn
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_117_MBPS hw
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_175_5_MBPS hx
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_234_MBPS hy
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_263_3_MBPS hz
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_292_5_MBPS h0
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_29_3_MBPS ht
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_351_MBPS h1
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_390_MBPS h2
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_58_5_MBPS hu
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_NGI_87_8_MBPS hv
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_130_MBPS h6
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_195_MBPS h7
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_260_MBPS h8
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_292_5_MBPS h9
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_325_MBPS ia
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_32_5_MBPS h3
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_390_MBPS ib
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_433_3_MBPS ic
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_65_MBPS h4
HAL_PHY_RATE_VHT_80MHZ_MCS_1NSS_CB_SGI_97_5_MBPS h5
MAX_2_4GHZ_CHANNEL dt 
MIN_2_4GHZ_CHANNEL ds 
MODE_802_11AG d7
MODE_802_11B d6
MODE_802_11N d8
NUM_2_4GHZ_CHANNELS du
NUM_802_11_MODES d9
NUM_HAL_PHY_RATES ie
NUM_NV_FIELDS ak
NUM_NV_TABLE_IDS jl
NUM_PHY_MAX_TX_CHAINS a2
NUM_PRODUCT_BANDS ao
NUM_REG_DOMAINS bc
NUM_RF_CHANNELS dr
NUM_RF_SUBBANDS bi
NV_COMMON_COUPLER_TYPE ah
NV_COMMON_MAC_ADDR ae
NV_COMMON_MFG_SERIAL_NUMBER af
NV_COMMON_NUM_OF_RX_CHAINS ad
NV_COMMON_NUM_OF_TX_CHAINS ac
NV_COMMON_NV_VERSION ai
NV_COMMON_PRODUCT_BANDS ab
NV_COMMON_PRODUCT_ID aa
NV_COMMON_RESERVED aj
NV_COMMON_WLAN_NV_REV_ID ag
NV_FIELDS_IMAGE i6
NV_TABLE_ANTENNA_PATH_LOSS jg
NV_TABLE_CAL_MEMORY je
NV_TABLE_DEFAULT_COUNTRY i9
NV_TABLE_FW_CONFIG jf
NV_TABLE_HW_CAL_VALUES jc
NV_TABLE_OFDM_CMD_PWR_OFFSET ji
NV_TABLE_PACKET_TYPE_POWER_LIMITS jh
NV_TABLE_RATE_POWER_SETTINGS i7
NV_TABLE_REGULATORY_DOMAINS i8
NV_TABLE_RSSI_CHANNEL_OFFSETS jd
NV_TABLE_TPC_PDADC_OFFSETS jb
NV_TABLE_TPC_POWER_TABLE ja
NV_TABLE_TX_BB_FILTER_MODE jj
NV_TABLE_VIRTUAL_RATE jk
PHY_TX_CHAIN_0 a1
PRODUCT_BAND_11_A an
PRODUCT_BAND_11_A_B_G am
PRODUCT_BAND_11_B_G al
REG_DOMAIN_APAC a8
REG_DOMAIN_ETSI a4
REG_DOMAIN_FCC a3
REG_DOMAIN_HI_5GHZ ba
REG_DOMAIN_JAPAN a5
REG_DOMAIN_KOREA a9
REG_DOMAIN_NO_5GHZ bb
REG_DOMAIN_N_AMER_EXC_FCC a7
REG_DOMAIN_WORLD a6
RF_CHAN_1 bj
RF_CHAN_10 bs
RF_CHAN_100 cc
RF_CHAN_104 cd
RF_CHAN_108 ce
RF_CHAN_10_1 kn
RF_CHAN_11 bt
RF_CHAN_112 cf
RF_CHAN_116 cg
RF_CHAN_11_1 ko
RF_CHAN_12 bu
RF_CHAN_120 ch
RF_CHAN_124 ci
RF_CHAN_128 cj
RF_CHAN_12_1 kp
RF_CHAN_13 bv
RF_CHAN_132 ck
RF_CHAN_136 cl
RF_CHAN_13_1 kq
RF_CHAN_14 bw
RF_CHAN_140 cm
RF_CHAN_144 kt
RF_CHAN_149 cn
RF_CHAN_14_1 kr
RF_CHAN_153 co
RF_CHAN_157 cp
RF_CHAN_161 cq
RF_CHAN_165 cr
RF_CHAN_1_1 ke
RF_CHAN_2 bk
RF_CHAN_208 b1
RF_CHAN_212 b2
RF_CHAN_216 b3
RF_CHAN_240 bx
RF_CHAN_244 by
RF_CHAN_248 bz
RF_CHAN_252 b0
RF_CHAN_2_1 kf
RF_CHAN_3 bl
RF_CHAN_36 b4
RF_CHAN_3_1 kg
RF_CHAN_4 bm
RF_CHAN_40 b5
RF_CHAN_44 b6
RF_CHAN_48 b7
RF_CHAN_4_1 kh
RF_CHAN_5 bn
RF_CHAN_52 b8
RF_CHAN_56 b9
RF_CHAN_5_1 ki
RF_CHAN_6 bo
RF_CHAN_60 ca
RF_CHAN_64 cb
RF_CHAN_6_1 kj
RF_CHAN_7 bp
RF_CHAN_7_1 kk
RF_CHAN_8 bq
RF_CHAN_8_1 kl
RF_CHAN_9 br
RF_CHAN_9_1 km
RF_CHAN_BOND_10 cz
RF_CHAN_BOND_102 dd
RF_CHAN_BOND_106 de
RF_CHAN_BOND_11 c0
RF_CHAN_BOND_110 df
RF_CHAN_BOND_114 dg
RF_CHAN_BOND_118 dh
RF_CHAN_BOND_122 di
RF_CHAN_BOND_126 dj
RF_CHAN_BOND_130 dk
RF_CHAN_BOND_134 dl
RF_CHAN_BOND_138 dm
RF_CHAN_BOND_142 ku
RF_CHAN_BOND_151 dn
RF_CHAN_BOND_155 do
RF_CHAN_BOND_159 dp
RF_CHAN_BOND_163 dq
RF_CHAN_BOND_210 c4
RF_CHAN_BOND_214 c5
RF_CHAN_BOND_242 c1
RF_CHAN_BOND_246 c2
RF_CHAN_BOND_250 c3
RF_CHAN_BOND_3 cs
RF_CHAN_BOND_38 c6
RF_CHAN_BOND_4 ct
RF_CHAN_BOND_42 c7
RF_CHAN_BOND_46 c8
RF_CHAN_BOND_5 cu
RF_CHAN_BOND_50 c9
RF_CHAN_BOND_54 da
RF_CHAN_BOND_58 db
RF_CHAN_BOND_6 cv
RF_CHAN_BOND_62 dc
RF_CHAN_BOND_7 cw
RF_CHAN_BOND_8 cx
RF_CHAN_BOND_9 cy
RF_SUBBAND_2_4_GHZ bd
RF_SUBBAND_4_9_GHZ bh
RF_SUBBAND_5_HIGH_GHZ bg
RF_SUBBAND_5_LOW_GHZ be
RF_SUBBAND_5_MID_GHZ bf
adjustedPwrDet ew 
antennaGain dy 
antennaPathLoss jv 
bRatePowerOffset dz 
bRssiOffset d1 
band d5 
calData er 
chanId i4 
channelNum d4 
channels dx 
configItem1 ik 
configItem2 i1 
configItem3 i2 
configItem4 i3 
countryCode ig 
couplerType az 
custom_tcxo_reg8 ef 
custom_tcxo_reg9 eg 
defaultCountryTable jo 
e80211Modes j6 
eHalPhyRates j7 
ePhyTxChains j1 
eRegDomainId j2 
eRfChannels j4 
eRfChannels_2_4GHz j5 
eRfSubBand j3 
else kv 
empirical ex 
enableDPD2G iv 
enableDPD5G iw 
enabled dv 
endif id
extPaCtrl0Polarity in 
extPaCtrl1Polarity io 
fields jz 
fwConfig js 
gnRatePowerOffset d0 
gnRssiOffset d2 
hwCalValues ju 
hwParam10 eo 
hwParam11 ep 
hwParam2 ee 
hwParam3 eh 
hwParam4 ei 
hwParam5 ej 
hwParam6 ek 
hwParam7 el 
hwParam8 em 
hwParam9 en 
ifdef gi
latest kw 
macAddr au 
macAddr1 ks 
macAddr2 av 
macAddr3 aw 
macAddr4 ax 
mfgSN ay 
numOfRxChains at 
numOfTxChains as 
nvVersion a0 
nv_TxBBFSel9MHz ed 
ofdmCmdPwrOffset jx 
ofdmPwrOffset et 
pdadcSelect2G ix 
pdadcSelect5GHigh i0 
pdadcSelect5GLow iy 
pdadcSelect5GMid iz 
pktTypePwrLimits jw 
plutCharacterized jp 
plutPdadcOffset jq 
productBands aq 
productId ap 
psSlpTimeOvrHd2G ea 
psSlpTimeOvrHd5G eb 
psSlpTimeOvrHdxLNA5G ec 
pwr i5 
pwrDetAdc ev 
pwrLimit dw 
pwrOptimum jm 
pwrOptimum_virtualRate jr 
pwrSampled ey 
regDomain if 
regDomains jn 
rssiChanOffsets jt 
rsvd eu 
skuID ih 
tRateGroupPwr kb 
tRateGroupPwrVR kd 
tTpcCaldPowerTable ka 
tTpcPowerTable kc 
tables j0 
targetFreq d3 
tpcMode2G ii 
tpcMode5G ij 
txFirFilterMode es 
txbbFilterMode jy 
validBmap eq 
wlanNvRevId ar 
xCoupler2G ir 
xCoupler5G is 
xLNA2G ip 
xLNA5G iq 
xPA2G il 
xPA5G im 
xPdet2G it 
xPdet5G iu 

END
------------------------------------------------------------------------------*/
